VYears,Source,Vineyard,Block,Variety,Acres,Tier,Budbreak,Bloom,Veraison,BunchesPerVine,BunchWt(kg),BerryMass(g),Brix,pH,TA,GDDtoHarvest,HarvestDate,Yield (Tonnes),ActualT/A,
2018,Own,Thomas,M,Viognier,1.96,2,30-Apr-18,8-Jun-18,18-Aug-18,26.6,0.2144,,22.8,3.05,9.76,,20-Oct-18,10.408,5.31,
2018,Own,Thomas,N,Viognier,0.98,2,30-Apr-18,8-Jun-18,18-Aug-18,25.2,0.2154,,23.4,3.01,8.98,,20-Oct-18,4.163,4.24,
2018,Own,Thomas,O,Pinot Gris,1.00,1,3-May-18,7-Jun-18,12-Aug-18,26.0,0.1334,,23.1,3.02,7.82,,19-Sep-18,4.432,4.43,
2018,Own,Thomas,O,Pinot Gris,1.78,1,3-May-18,7-Jun-18,12-Aug-18,26.0,0.1334,,22.9,3.05,7.14,,20-Sep-18,6.591,3.70,
2018,Own,Thomas,P,Pinot Gris,2.17,2,3-May-18,7-Jun-18,14-Aug-18,26.5,0.1316,,23.4,3.05,7.57,,17-Sep-18,7.846,3.62,
2018,Own,Thomas,Q,Pinot Gris,0.57,3,3-May-18,8-Jun-18,13-Aug-18,25.4,0.1277,,22.6,3.04,8.50,,20-Sep-18,2.220,3.90,
2018,Own,Thomas,Q,Pinot Gris,1.37,3,3-May-18,8-Jun-18,13-Aug-18,25.4,0.1277,,22.6,3.04,8.50,,20-Sep-18,3.853,2.82,
2018,Own,Thomas,R,Pinot Noir,1.88,1,2-May-18,8-Jun-18,12-Aug-18,23.1,0.1254,,22.8,3.08,8.10,,28-Sep-18,6.275,3.34,
2018,Own,Thomas,R,Pinot Noir,3.30,2,2-May-18,8-Jun-18,12-Aug-18,23.1,0.1244,,24.3,3.10,7.36,,22-Oct-18,10.134,3.07,
2018,Own,Thomas,S,Pinot Gris,1.20,3,3-May-18,8-Jun-18,13-Aug-18,24.6,0.1360,,21.3,3.01,9.32,,20-Sep-18,6.363,5.30,
2018,Own,Thomas,S,Pinot Gris,1.38,3,3-May-18,8-Jun-18,13-Aug-18,24.6,0.1360,,21.3,3.01,9.32,,20-Sep-18,3.539,2.56,
2018,Own,Whitetail,A1,Semillon,2.68,3,6-May-18,7-Jun-18,,20.1,0.2281,,20.6,3.11,5.82,,12-Oct-18,14.812,5.53,
2018,Own,Whitetail,B,Riesling,3.24,3,5-May-18,5-Jun-18,,33.6,0.1552,,21.3,2.91,11.50,,19-Oct-18,14.332,4.42,
2018,Own,Whitetail,C,Chardonnay,1.25,2,2-May-18,2-Jun-18,,32.0,0.1556,,,,,,10-Oct-18,6.125,4.90,
2018,Own,Whitetail,C,Chardonnay,1.96,3,2-May-18,2-Jun-18,,32.0,0.1549,,22.8,3.08,9.01,,10-Oct-18,10.048,5.13,
2018,Own,Whitetail,C,Chardonnay,11.00,3,2-May-18,2-Jun-18,,32.0,0.1549,,22.8,3.08,9.01,,1-Oct-18,55.551,5.05,
2018,Own,Whitetail,D,Sauvignon Blanc,1.22,2,3-May-18,4-Jun-18,,27.8,0.1198,,21.0,2.99,11.46,,10-Sep-18,7.067,5.79,
2018,Own,Whitetail,D,Sauvignon Blanc,1.60,2,3-May-18,4-Jun-18,,27.8,0.1198,,21.0,2.99,11.46,,10-Sep-18,9.080,5.68,
2018,Own,Whitetail,D,Sauvignon Blanc,2.01,2,3-May-18,4-Jun-18,,27.8,0.1198,,16.9,2.85,16.53,,9-Sep-18,8.395,4.18,
2018,Own,Whitetail,D,Sauvignon Blanc,1.26,1,3-May-18,4-Jun-18,,27.8,0.1482,,16.9,2.85,16.53,,9-Sep-18,4.338,3.44,
2018,Own,Whitetail,D,Sauvignon Blanc,11.78,3,3-May-18,4-Jun-18,,27.8,0.1476,,21.0,2.99,11.46,,10-Sep-18,48.242,4.10,
2018,Own,Whitetail,E,Sauvignon Blanc,8.23,3,3-May-18,5-Jun-18,,33.1,0.1231,,20.4,2.96,12.37,,9-Sep-18,31.335,3.81,
2018,Own,Whitetail,E,Sauvignon Blanc,8.23,3,3-May-18,5-Jun-18,,33.1,0.1231,,20.4,2.96,12.37,,4-Sep-18,29.025,3.53,
2018,Own,Whitetail,F,Cabernet Sauvignon,13.00,3,,5-Jun-18,,31.0,0.1455,,25.0,2.99,9.87,,29-Oct-18,52.074,4.01,
2017,Own,Bullpine,F,Merlot,7.32,3,3-May-17,12-Jun-17,16-Aug-17,32.7,0.2024,1.22,24.9,3.05,6.40,1552.5,10-Oct-17,37.649,5.15,
2018,Own,Whitetail,H,Pinotage,0.87,3,2-May-18,6-Jun-18,,35.1,0.1912,,25.3,3.02,9.04,,10-Oct-18,5.254,6.01,
2018,Own,Whitetail,I,Gewurztraminer,7.79,3,28-Apr-18,1-Jun-18,,24.9,0.1786,,22.5,3.19,6.64,,25-Sep-18,51.929,6.67,
2018,Own,Whitetail,I,Gewurztraminer,4.54,3,28-Apr-18,1-Jun-18,,24.9,0.1786,,22.5,3.19,6.64,,26-Sep-18,28.663,6.31,
2018,Own,Whitetail,J,Riesling,0.75,2,6-May-18,5-Jun-18,,23.8,0.1658,,22.0,2.86,13.08,,1-Nov-18,3.763,5.02,
2018,Own,Whitetail,J,Riesling,6.96,5,6-May-18,5-Jun-18,,23.8,,,,,,,,27.850,4.00,
