"","YearPlanted","Variety","acres","Lag.Phase.G.Vine","Pick.Weight.Grams","Year","VineyardCode","Vineyard","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","PhenoEvent","phenologyDate","BlockID","rootstock","clone","OriginalVineyardBlocks","OriginalBlockName","vineyard"
"79",1997,"Chardonnay",2.18,1250,NA,"2002","QGV","Quails Gate",3000,"2.0 x 1.4","29.0g",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F5B1",NA,NA,NA,NA,NA
"80",1997,"Chardonnay",2.18,1625,NA,"2002","QGV","Quails Gate",3000,"2.0 x 1.4","36.1g",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F5B2",NA,NA,NA,NA,NA
"81",1997,"Chardonnay",2.18,1700,NA,"2002","QGV","Quails Gate",3000,"2.0 x 1.4","42.5g",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F5B3",NA,NA,NA,NA,NA
"82",1997,"Chardonnay",0.73,1200,NA,"2002","QGV","Quails Gate",1000,"2.0 x 1.4","28.5g",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F5B4",NA,NA,NA,NA,NA
"83",1997,"Pinot Noir",1.43,1375,NA,"2002","QGV","Quails Gate",2450,"2.0 x 1.1","30.5g",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F5B5",NA,NA,NA,NA,NA
"84",1997,"Pinot Noir",1.87,1150,NA,"2002","QGV","Quails Gate",3200,"2.0 x 1.1","28.0g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F5B6",NA,NA,NA,NA,NA
"85",1997,"Cab Sauvignon",1.25,675,NA,"2002","QGV","Quails Gate",1716,"2.0 x 1.4","42.1g",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-23,"F5B7",NA,NA,NA,NA,NA
"86",1994,"Gewurztraminer",0.52,1050,NA,"2002","QGV","Quails Gate",632,"2.4 x 1.3","26.2g",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-25,"F5B8",NA,NA,NA,NA,NA
"87",1989,"Gewurztraminer",1.26,900,NA,"2002","QGV","Quails Gate",1526,"2.4 x 1.3","24.3g",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-25,"F5B9",NA,NA,NA,NA,NA
"88",1994,"Cabernet Franc",0.28,5550,NA,"2003","QGV","Quails Gate",275,"2.4 x 1.2","100g",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2003-06-15,"F1B1",NA,NA,NA,NA,NA
