tag.no,date,appell,growblk,variety,lbs,brix,ta,ph,tanks,deputy,jtemp,comments,location,bins
85691,15-09-17,OLV,*12PNB,PNN,4368,23.1,6.8,3.38,"OV  13,B    1",RT,0,MP,MH,4
85582,15-09-16,OLV,*12PNC,PNN,3230,24.1,6.5,3.48,"919,B    4",JP,0,MP,MH,3
8565,15-09-17,OLV,*12PNC,PNN,8400,23.1,6.8,3.38,"OV  13,B    1",JP,0,MP,MH,8
85692,15-09-17,OLV,*12PNC,PNN,1092,23.1,6.8,3.38,"OV  13,B    1",RT,0,MP,MH,1
85701,15-09-17,OLV,*12PNH,PNN,14254,23.1,6.8,3.38,"OV  15,B    1",BC,0,mp,MH,12
85693,15-09-17,OLV,*12PNH,PNN,4368,23.1,6.8,3.38,"OV  14,B    1",RT,0,MP,MH,4
85831,15-09-18,OLV,*12PNH,PNN,6810,22.8,5.2,3.64,"918,B    2",JP,0,MP,MH,6
85702,15-09-17,OLV,*12PNO,PNN,10691,23.1,6.8,3.38,"OV  14,B    1,918,B",AM,0,mp,MH,9
85694,15-09-17,OLV,*12PNO,PNN,2184,23.1,6.8,3.38,"OV  14,B    1",RT,0,MP,MH,2
85832,15-09-18,OLV,*12PNO,PNN,6810,22.8,5.2,3.64,"918,B    2",JP,0,MP,MH,6
86231,15-09-23,OLV,*12RSF,RSL,19620,21.8,5.4,3.39,"RPA,RPA",,9,,MH,20
8621,15-09-23,OLV,*12RSF,RSL,11892,21.8,5.4,3.39,RPA,,9,,MH,12
86413,15-09-24,OLV,*12RSF,RSL,647,23.4,5.9,3.4,XPA320,,0,,MH,1
8539,15-09-15,OLV,*12RSP,RSL,1360,21.3,6,3.32,XPA320,,13,,MH,2
86232,15-09-23,OLV,*12RSP,RSL,17660,21.8,5.4,3.39,RPA,,9,,MH,18
8624,15-09-23,OLV,*12RSP,RSL,10845,21.8,5.4,3.39,RPA,,9,,MH,11
85042,15-09-09,OLV,*12SBJ,SBL,2351,22.7,4.39,3.54,XPA320,BC,0,MP,MH,2
8502,15-09-09,OLV,*12SBJ,SBL,45100,24.1,4.9,3.48,"RPA,XPA320",,0,,MH,38
