tag.no,crush.tag.date,appell,growblk,variety,lbs,unalloc,brix,ta,ph,tanks,deputy,comments,location,bins,gcexclude
64312,11-10-11,OLV,*12PNB,PNN,2341,0,21.2,6.87,3.2,922,BL,MP,MH,2,FALSE
64372,11-10-11,OLV,*12PNB,PNN,4753,0,21.2,6.87,3.2,923,BL,MP,MH,4,FALSE
64313,11-10-11,OLV,*12PNC,PNN,14049,0,22.3,7,3.26,"922,923",BL,MP,MH,12,FALSE
6403,11-10-07,OLV,*12PNH,PNN,23965,0,21,6.26,3.33,"932,920,RPA",BD,MP,MH,21,FALSE
6406,11-10-07,OLV,*12PNH,PNN,6840,0,21,6.26,3.33,920,BL,MP,MH,6,FALSE
6432,11-10-11,OLV,*12PNO,PNN,11120,0,21.7,7.43,3.32,XPA,BL,HP,MH,12,FALSE
6436,11-10-11,OLV,*12PNO,PNN,23280,0,21.7,7.43,3.32,XPA,BL,HP,MH,26,FALSE
6592,11-10-26,OLV,*12RSF,RSL,14940,0,21,12.7,2.8,XPA320,BL,MP/HP,MH,16,FALSE
6405,11-10-07,OLV,*12SBJ,SBL,32060,0,21.4,7.59,3.23,XPA150,BL,MP,MH,30,FALSE
6418,11-10-08,OLV,*12SBJ,SBL,14720,0,21.4,7.59,3.23,XPA320,BL,MP,MH,14,FALSE
6420,11-10-08,OLV,*12SBJ,SBL,41400,0,21.4,7.59,3.23,XPA320,BL,MP,MH,38,FALSE
6421,11-10-08,OLV,*12SBJ,SBL,19855,0,21.4,7.59,3.23,XPA320,AM,MP,MH,19,FALSE
65331,11-10-21,OLV,*12SMG,SEM,22855,0,19.9,8.28,3.16,XPA,FL,MP,MH,19,FALSE
6535,11-10-21,OLV,*12SMG,SEM,3650,0,19.9,8.28,3.17,XPA,FL,MP,MH,4,FALSE
65332,11-10-21,OLV,*12SMN,SEM,22855,0,19.3,7.31,3.19,XPA,FL,MP,MH,19,FALSE
6557,11-10-25,OLV,*12SZE,SHZ,4340,0,19.5,10,3.06,908,BD,MP,MH,4,FALSE
6560,11-10-25,OLV,*12SZE,SHZ,36170,0,19.5,10,3.06,908,BD,MP,MH,34,FALSE
6562,11-10-25,OLV,*12SZE,SHZ,8530,0,19.5,10,3.06,908,BD,MP,MH,8,FALSE
6567,11-10-25,OLV,*12SZK,SHZ,6610,0,19.5,10,3.06,908,BD,MP,MH,6,FALSE
70401,11-11-09,KEL,*13CHB,CHD,1103,1103,0,0,0,,BD,HP,MH,2,FALSE
70402,11-11-09,KEL,*13CHG,CHD,552,552,0,0,0,,BD,HP,MH,1,FALSE
70413,11-11-09,KEL,*13PNA,PNN,872,0,0,0,0,607,BD,HP,MH,1,FALSE
70411,11-11-09,KEL,*13PNE,PNN,872,0,0,0,0,607,BD,HP,MH,1,FALSE
70412,11-11-09,KEL,*13PNF,PNN,871,0,0,0,0,607,BD,HP,MH,1,FALSE
7038,11-11-09,KEL,*13RSC,RSL,545,545,0,0,0,,BD,HP,MH,1,FALSE
7039,11-11-09,KEL,*13VDD,VID,255,255,0,0,0,,BD,HP,MH,1,FALSE
6450,11-10-12,NAR,*15CHC,CHD,2225,0,21.7,13.5,3.05,XPA320,BL,HP,MH,3,FALSE
69632,11-11-01,NAR,*15CHC,CHD,12562,0,23.1,10.1,3.17,RPA,BD,HP,MH,8,FALSE
69701,11-11-02,NAR,*15CHD,CHD,18783,0,23.3,11.1,3.11,XPA320,R,MP,MH,18,FALSE
69702,11-11-02,NAR,*15CHE,CHD,22957,0,23.5,12.1,3.12,XPA320,R,MP,MH,22,FALSE
6976,11-11-02,NAR,*15CHE,CHD,25460,0,23.5,12.1,3.12,XPA320,FL,HP,MH,24,FALSE
69631,11-11-01,NAR,*15CHF,CHD,17273,0,22.6,13.5,3.1,XPA150,BD,HP,MH,11,FALSE
69541,11-11-01,NAR,*15CHG,CHD,7231,0,22.5,12.3,3.17,XPA150,R,MP,MH,7,FALSE
69542,11-11-01,NAR,*15CHY,CHD,34089,0,23,10.6,3.08,RPA,R,MP,MH,33,FALSE
6621,11-10-28,NAR,*15GWH,GZT,6245,0,24.1,6.51,3.25,XPA150,BL,HP,MH,9,FALSE
65761,11-10-25,NAR,*15MEM,MER,9689,0,18.9,12.9,3.03,XPA,BL,HP,MH,11,FALSE
65762,11-10-25,NAR,*15MEN,MER,23782,0,18.9,12.9,3.03,"XPA,RPA",BL,HP,MH,27,FALSE
65763,11-10-25,NAR,*15MEO,MER,10569,0,18.9,12.9,3.03,RPA,BL,HP,MH,12,FALSE
6987,11-11-03,NAR,*15MEO,MER,5760,0,18.9,12.9,3.03,603,BD,HP,MH,6,FALSE
64632,11-10-13,NAR,*15PAA,PNN,5944,0,24.1,8.99,3.19,"933,XPA",BL,HP,MH,7,FALSE
64631,11-10-13,NAR,*15PAB,PNN,20380,0,22.4,9.28,3.17,"931,931,933,XPA",BL,HP,MH,24,FALSE
64633,11-10-13,NAR,*15PAC,PNN,849,0,22.6,10.2,3.1,933,BL,HP,MH,1,FALSE
64634,11-10-13,NAR,*15PAD,PNN,3400,0,22.6,10.2,3.1,"933,XPA",BL,HP,MH,4,FALSE
6512,11-10-19,NAR,*15PBP,PBL,27135,0,22.2,10.1,3.05,RPA,R,MP,MH,29,FALSE
66351,11-10-31,NAR,*15PGT,PGR,21835,0,22.8,9.64,3.1,RPA,BL,MP,MH,22,FALSE
66451,11-10-31,NAR,*15PGT,PGR,927,0,22.8,9.64,3.1,RPA,FL,HP,MH,1,FALSE
66352,11-10-31,NAR,*15PGU,PGR,9925,0,23.3,8.75,3.15,RPA,BL,MP,MH,10,FALSE
66452,11-10-31,NAR,*15PGU,PGR,9270,0,23.3,8.75,3.15,RPA,FL,HP,MH,10,FALSE
66453,11-10-31,NAR,*15PGV,PGR,3708,0,23.3,8.75,3.15,RPA,FL,HP,MH,4,FALSE
66072,11-10-27,NAR,*15RSI,RSL,18428,0,22.1,15.8,2.63,XPA320,BL,HP,MH,25,FALSE
66071,11-10-27,NAR,*15RSK,RSL,16954,0,20.7,14.4,2.67,XPA320,BL,HP,MH,23,FALSE
66073,11-10-27,NAR,*15RSZ,RSL,2948,0,21,16,2.61,XPA320,BL,HP,MH,4,FALSE
6622,11-10-28,NAR,*15VIA,VIO,3805,0,20.1,11.5,2.94,XPA150,BL,HP,MH,5,FALSE
7030,11-11-08,OLV,*16CAJ,CAS,1900,0,25.3,6.79,3.25,918,R,HP,MH,2,FALSE
7034,11-11-08,OLV,*16CAJ,CAS,4485,0,25.3,6.79,3.25,918,BL,HP,MH,5,FALSE
6952,11-11-01,OLV,*16CFG,CAF,14260,0,24.3,5.84,3.84,OV  15,R,HP,MH,17,FALSE
7007,11-11-04,OLV,*16CFG,CAF,12500,0,24.3,5.84,3.84,909,R,HP,MH,14,FALSE
6629,11-10-31,OLV,*16MEH,MER,31335,0,25.9,5.68,3.82,939,R,HP,MH,37,FALSE
6351,11-09-26,OLV,*16MUA,MSC,11830,0,20,6.65,3.33,RPA,RT,MP,MH,10,FALSE
6353,11-09-26,OLV,*16MUA,MSC,22145,0,20,6.65,3.33,RPA,BL,MP,MH,19,FALSE
6536,11-10-21,OLV,*16RSD,RSL,32590,0,21.9,10.4,2.98,RPA,FL,MP,MH,34,FALSE
6540,11-10-21,OLV,*16RSD,RSL,10840,0,21.9,10.4,2.98,RPA,BL,MP,MH,12,FALSE
6542,11-10-21,OLV,*16RSD,RSL,37260,0,21.9,10.4,2.98,XPA,R,MP,MH,38,FALSE
6543,11-10-21,OLV,*16RSD,RSL,1940,0,21.9,10.4,2.98,XPA,BD,MP,MH,2,FALSE
6352,11-09-26,OLV,*16SBB,SBL,30060,0,19.8,7.05,3.31,XPA,R,MP,MH,28,FALSE
