tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
7213,12-10-15,OLV,*12SBJ,SBL,16505,0,23.00,6.84,3.27,XPA320,BL,MP,15
7216,12-10-15,OSO,RDHCHA,CHD,17375,0,21.90,8.55,3.27,XPA150,BL,HP,21
7215,12-10-15,OLV,HSDCHA,CHD,27625,0,22.20,8.66,3.28,RPA150,JJ,HP,33
72181,12-10-15,NAR,*15PAB,PNN,15271,0,25.00,9.74,3.25,"928,B    1",CB,HP,22
72182,12-10-15,NAR,*15PAA,PNN,16659,0,23.80,10.30,3.12,"928,929,B    1",CB,HP,24
57606,12-10-15,WAS,CVMERM,MER,72680,6.67,0.00,0.00,0.00,605,ALL,2 TANKERS,0
7220,12-10-16,OLV,*10PBS,PBL,38910,0,21.00,8.16,3.13,"RPA150,XPA150",BL,MP,36
7221,12-10-16,OLV,*10PBS,PBL,39330,0,21.00,8.16,3.13,"RPA150,XPA320",BC,MP,36
72221,12-10-16,OLV,*10PBS,PBL,21967,0,21.00,8.16,3.13,XPA320,BL,MP,20
72222,12-10-16,OLV,*10PBW,PBL,17573,0,22.40,7.16,3.25,XPA320,BL,MP,16
7223,12-10-16,OLV,*10PBS,PBL,39425,0,21.00,8.16,3.13,"XPA320,XPA320",JJ,MP,36
72241,12-10-16,OLV,*10PBW,PBL,9625,0,22.40,7.16,3.25,RPA150,JJ,MP,9
72242,12-10-16,OLV,*10PBX,PBL,28875,0,23.40,7.35,3.22,"XPA320,RPA150",JJ,MP,27
7225,12-10-16,OLV,*04MEA,MER,36740,0,24.20,8.29,3.13,"912,B    1",JJ,MP,36
7226,12-10-16,OLV,*12MEP,MER,14440,0,23.80,5.79,3.43,913,R,MP,14
7227,12-10-16,OLV,*10PBX,PBL,24340,0,23.40,7.35,3.22,"XPA320,RPA150",R,MP,22
7228,12-10-16,OLV,*04MEA,MER,12980,0,24.20,8.29,3.13,"912,B    1",BL,MP,12
7229,12-10-16,OLV,*10PBX,PBL,27090,0,23.40,7.35,3.22,XPA320,BL,MP,24
7230,12-10-16,OLV,*12MEP,MER,32905,0,23.80,5.79,3.43,913,BL,MP,31
7233,12-10-16,NAR,*15CHC,CHD,28215,0,24.20,9.62,3.17,XPA150,BD,HP,41
7231,12-10-16,OLV,JGLSBB,SBL,24350,0,23.20,9.39,3.13,"XPA150,XPA320",BD,HP,26
7232,12-10-16,OLV,GGLSBB,SBL,17350,0,23.00,9.05,3.23,XPA320,BD,HP,18
7234,12-10-16,OLV,HGLMER,MER,39810,0,24.00,8.73,3.18,607,BD,HP,44
72351,12-10-16,OSO,*02MEJ,MER,18342,0,26.10,4.18,3.49,"OV   3,OV   2,951",BC,HP,23
72352,12-10-16,OSO,*02MEM,MER,21533,0,25.90,4.39,3.87,"OV  17,OV   2,951",BC,HP,27
72353,12-10-16,OSO,*02MEI,MER,1595,0,25.40,4.20,3.54,"OV   2,951",CB,HP,2
7301,12-10-17,OLV,DHLSPA,SBL,18253,0,22.80,7.57,3.21,XPA320,R,HP,19
7302,12-10-17,OLV,*11GAK,GAM,28025,0,24.10,10.00,3.04,603,R,MP,25
7304,12-10-17,OLV,GGLMED,MER,37240,0,24.10,7.44,3.30,606,R,HP,42
7236,12-10-17,OLV,*10SBB,SBL,41140,0,20.90,7.06,3.24,"RPA150,XPA150",DSK,MP,36
7237,12-10-17,OLV,*10SBB,SBL,40380,0,20.90,7.06,3.24,"RPA150,XPA150",BC,MP,36
7238,12-10-17,OLV,*10SBB,SBL,1590,0,20.90,7.06,3.24,XPA150,BC,MP,2
7239,12-10-17,OLV,*12PBM,PBL,36350,0,22.50,7.42,3.22,XPA320,BC,MP,34
7240,12-10-17,OLV,*04MEA,MER,24190,0,24.20,8.29,3.13,"913,602,B    1",B,MP,24
7241,12-10-17,OLV,*12PBM,PBL,13160,0,22.50,7.42,3.22,XPA320,JJ,MP,12
7242,12-10-17,OLV,*09MEC,MER,21880,0,23.30,7.26,3.27,909,JJ,MP,20
7243,12-10-17,OLV,*04MEA,MER,15600,0,24.20,8.29,3.13,"908,912",JJ,MP,16
7244,12-10-17,OLV,*09MEA,MER,38570,0,23.50,6.85,3.29,909,JJ,MP,36
7245,12-10-17,OLV,BROSBA,SBL,17605,0,22.80,6.93,3.33,XPA320,JJ,HP,19
7246,12-10-17,OLV,BROSMD,SEM,6380,0,21.10,6.92,3.21,XPA320,JJ,HP,8
7247,12-10-17,OLV,*11GAK,GAM,32350,0,24.10,10.00,3.04,603,JJ,MP,30
7248,12-10-17,OLV,HGLMER,MER,10020,0,24.00,8.73,3.18,607,JJ,HP,11
7249,12-10-17,OLV,JGLSBB,SBL,6765,0,23.20,9.39,3.13,XPA320,JJ,HP,7
7250,12-10-17,OLV,*09MEC,MER,8760,0,23.30,7.26,3.27,"912,913",BL,MP,6
73031,12-10-17,OSO,*03MEF,MER,36254,0,25.50,4.50,3.89,"OV  16,OV  15,937,951",WS,HP,46
