"","Field","Block","Planted","Variety","Acres","Lag.Phase.G.Vine","Pick.Weight.Grams","X","Year","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","CommentsPlanted","CommentsFlowering","CommentsVerasion","CommentsBudburst","phenologyEvent","phenologyDate"
"812","F2","B2",1998,"Merlot",3.27,4200,NA,NA,"2003",4500,"2.1 x 1.4","88g",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-18 June","original verasion date is NA","original budburst date is 2-May","Lag.Phase.Date",2003-07-24
"813","F2","B3",1975,"Chasselas",2.45,14500,NA,NA,"2003",1590,"3.0 x 2.1","80g",220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/83","original flowering date was 22-23 June","original verasion date is NA","original budburst date is 03-04 May","Lag.Phase.Date",2003-07-25
"815","F2","B4",1987,"Chardonnay",1.42,8800,NA,NA,"2003",1532,"2.7 x 1.3","132g",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-17 June","original verasion date is NA","original budburst date is 24-25 Apr","Lag.Phase.Date",2003-07-22
"816","F2","B5",1993,"Chardonnay",0.48,8250,NA,NA,"2003",800,"2.4 x 1.2","124g",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-17 June","original verasion date is NA","original budburst date is 24-25 Apr","Lag.Phase.Date",2003-07-22
"817","F2","B6",1997,"Chenin Blanc",4.72,2500,NA,NA,"2003",6500,"2.1 x 1.4","54g",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 21-22 June","original verasion date is NA","original budburst date is 28-29 Apr","Lag.Phase.Date",2003-07-28
"818","F2","B7",1998,"Merlot",3.27,5500,NA,NA,"2003",4500,"2.1 x 1.4","94g",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-20 June","original verasion date is NA","original budburst date is 2-May","Lag.Phase.Date",2003-07-24
"819","F2","B8",1998,"Merlot",1.16,4200,NA,NA,"2003",1600,"2.1 x 1.4","93g",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-20 June","original verasion date is NA","original budburst date is 2-May","Lag.Phase.Date",2003-07-24
"820","F2","B9",1998,"Gamay Noir",0.91,4600,NA,NA,"2003",1257,"2.1 x 1.4","92g",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 15-16 June","original verasion date is NA","original budburst date is 27-28 Apr","Lag.Phase.Date",2003-07-28
"821","F3","B1",19975,"Chenin Blanc",1.93,3500,NA,NA,"2003",1373,"3.0 x 2.1","82g",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  19975/97","original flowering date was 18-19 June","original verasion date is NA","original budburst date is 28-29 Apr","Lag.Phase.Date",2003-07-28
"822","F3","B2",1965,"Foch",1.25,3300,NA,NA,"2003",780,"3.1 x 2.1","34g",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 12-13 June","original verasion date is NA","original budburst date is 20-Apr","Lag.Phase.Date",2003-07-28
"823","F3","B3",1996,"Pinot Noir",2.47,2400,NA,NA,"2003",5000,"2.0 x 1.0","86g",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-18 June","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2003-07-23
"824","F3","B4",1996,"Chardonnay",2.47,3350,NA,NA,"2003",5000,"2.0 x 1.0","96g",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 14-15 June","original verasion date is NA","original budburst date is 23-Apr","Lag.Phase.Date",2003-07-23
"825","F3","B5",1990,"Pinot Noir",0.91,3400,NA,NA,"2003",1103,"2.4 x 1.3","82g",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-17 June","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2003-07-23
"826","F3","B6",1987,"Pinot Noir",0.5,5350,NA,NA,"2003",600,"2.4 x 1.3","84g",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-17 June","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2003-07-23
"827","F3","B7",1987,"Pinot Noir",0.96,3550,NA,NA,"2003",1160,"2.4 x 1.3","98g",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-17 June","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2003-07-23
"828","F3","B8",1975,"Pinot Noir",0.54,6150,NA,NA,"2003",631,"2.4 x 1.3","94g",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/90","original flowering date was 16-17 June","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2003-07-23
"829","F4","B1",1982,"Riesling",2.23,3400,NA,NA,"2003",2614,"2.4 x 1.3","78g",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-20 June","original verasion date is NA","original budburst date is 5-6-May","Lag.Phase.Date",2003-07-28
