Jentsch,D,Gewurtztraminer,04-Jun,,30-May,03-Jun,13-Jun,15-Jun,27-Jun,03-Jul,25-Jun,15-Jun,13-Jun,06-Jun,11-Jun,14-Jun,09-Jun,18-Jun,17-Jun,,13-Jun,
Jentsch,E,Cabernet Franc,06-Jun,20-Jun,30-May,04-Jun,12-Jun,15-Jun,27-Jun,02-Jul,26-Jun,14-Jun,13-Jun,05-Jun,11-Jun,14-Jun,08-Jun,10-Jun,17-Jun,,13-Jun,
JTV,A,Riesling,03-Jun,21-Jun,30-May,02-Jun,12-Jun,15-Jun,,,,,,,,,,,,,08-Jun,
Larose,Souto - 1,Cabernet Franc,06-Jun,23-Jun,30-May,06-Jun,13-Jun,10-Jun,27-Jun,01-Jul,24-Jun,15-Jun,14-Jun,07-Jun,11-Jun,12-Jun,07-Jun,15-Jun,17-Jun,,13-Jun,
Larose,Souto - 2,Merlot,06-Jun,22-Jun,30-May,,13-Jun,15-Jun,27-Jun,01-Jul,24-Jun,15-Jun,14-Jun,07-Jun,11-Jun,12-Jun,07-Jun,15-Jun,16-Jun,,14-Jun,
Larose,Souto - 3,Merlot,05-Jun,21-Jun,30-May,,12-Jun,11-Jun,21-Jun,05-Jul,27-Jun,12-Jun,10-Jun,07-Jun,11-Jun,12-Jun,08-Jun,13-Jun,16-Jun,,13-Jun,
Larose,Souto - 4,Merlot,05-Jun,16-Jun,30-May,01-Jun,12-Jun,10-Jun,21-Jun,,21-Jun,14-Jun,12-Jun,05-Jun,09-Jun,08-Jun,08-Jun,15-Jun,19-Jun,,10-Jun,
Larose,Souto - 5,Cabernet Sauvignon,03-Jun,18-Jun,30-May,30-May,10-Jun,13-Jun,20-Jun,25-Jun,22-Jun,11-Jun,10-Jun,04-Jun,09-Jun,07-Jun,05-Jun,07-Jun,15-Jun,,10-Jun,
Larose,Souto - 6,Cabernet Sauvignon,03-Jun,20-Jun,30-May,01-Jun,11-Jun,10-Jun,21-Jun,11-Jul,28-Jun,14-Jun,17-Jun,08-Jun,11-Jun,,12-Jun,15-Jun,20-Jun,,14-Jun,
Larose,Souto - 7,Cabernet Sauvignon,05-Jun,20-Jun,30-May,03-Jun,12-Jun,14-Jun,25-Jun,10-Jul,28-Jun,18-Jun,15-Jun,08-Jun,11-Jun,,09-Jun,15-Jun,17-Jun,,14-Jun,
Larose,Thompson - 1,Petit Verdot,03-Jun,17-Jun,30-May,01-Jun,10-Jun,11-Jun,20-Jun,,28-Jun,13-Jun,11-Jun,04-Jun,11-Jun,06-Jun,12-Jun,15-Jun,18-Jun,,11-Jun,
